,0
0,Tom Hanks
1,Tim Allen
2,Don Rickles
3,Jim Varney
4,Robin Williams
5,Jonathan Hyde
6,Kirsten Dunst
7,Bradley Pierce
8,Al Pacino
9,Robert De Niro
10,Val Kilmer
11,Jon Voight
12,Pierce Brosnan
13,Sean Bean
14,Izabella Scorupco
15,Famke Janssen
16,Kevin Bacon
17,Bob Hoskins
18,Bridget Fonda
19,Jim Cummings
20,Sharon Stone
21,Joe Pesci
22,James Woods
23,Kate Winslet
24,Emma Thompson
25,Hugh Grant
26,Tom Wilkinson
27,Tim Roth
28,Antonio Banderas
29,Jennifer Beals
30,Madonna
31,Jim Carrey
32,Ian McNeice
33,Simon Callow
34,Maynard Eziashi
35,John Travolta
36,Gene Hackman
37,Rene Russo
38,Danny DeVito
39,Sylvester Stallone
40,Julianne Moore
41,Anatoli Davydov
42,Nicolas Cage
43,Elisabeth Shue
44,Julian Sands
45,Richard Lewis
46,Ron Perlman
47,Dominique Pinon
48,Judith Vittet
49,Daniel Emilfork
50,Bruce Willis
51,Madeleine Stowe
52,Brad Pitt
53,Christopher Plummer
54,Christine Cavanaugh
55,Miriam Margolyes
56,Danny Mann
57,Hugo Weaving
58,Susan Sarandon
59,Sean Penn
60,Robert Prosky
61,Celia Weston
62,Alicia Silverstone
63,Stacey Dash
64,Brittany Murphy
65,Paul Rudd
66,Morgan Freeman
67,Gwyneth Paltrow
68,Kevin Spacey
69,Irene Bedard
70,Mel Gibson
71,David Ogden Stiers
72,John Kassir
73,Stephen Baldwin
74,Gabriel Byrne
75,Chazz Palminteri
76,Kevin Pollak
77,Ice Cube
78,Chris Tucker
79,Nia Long
80,John Witherspoon
81,George Clooney
82,Quentin Tarantino
83,Harvey Keitel
84,Juliette Lewis
85,Vincent Cassel
86,Abdel Ahmed Ghili
87,Souleymane Dicko
88,Edouard Montoute
89,Adam Sandler
90,Ben Stiller
91,Christopher McDonald
92,Julie Bowen
93,Meryl Streep
94,Clint Eastwood
95,Annie Corley
96,Victor Slezak
97,Catherine McCormack
98,Sophie Marceau
99,Patrick McGoohan
100,Cybill Shepherd
101,Jodie Foster
102,Nathan Lane
103,Dianne Wiest
104,Will Smith
105,Martin Lawrence
106,Joe Pantoliano
107,Marg Helgenberger
108,Leonardo DiCaprio
109,Lorraine Bracco
110,James Madio
111,Mark Wahlberg
112,Bill Paxton
113,Gary Sinise
114,Christina Ricci
115,Bill Pullman
116,Cathy Moriarty
117,Eric Idle
118,Denzel Washington
119,Matt Craven
120,George Dzundza
121,Salma Hayek
122,Joaquim de Almeida
123,Cheech Marin
124,Jeremy Irons
125,Graham Greene
126,Colleen Camp
127,Jonny Lee Miller
128,Angelina Jolie
129,Jesse Bradford
130,Matthew Lillard
131,Jason Lee
132,Jeremy London
133,Shannen Doherty
134,Claire Forlani
135,Ralph Fiennes
136,Angela Bassett
137,Tom Sizemore
138,Ethan Hawke
139,Julie Delpy
140,Andrea Eckert
141,Karl Bruckschwaiger
142,Darren McGavin
143,Bridgette Wilson
144,Bradley Whitford
145,Jeff Anderson
146,Jason Mewes
147,Kevin Smith
148,Lisa Spoonhauer
149,Jeff Daniels
150,Lauren Holly
151,Teri Garr
152,Johnny Depp
153,Martin Landau
154,Sarah Jessica Parker
155,Patricia Arquette
156,Bill Farmer
157,Jason Marsden
158,Rob Paulsen
159,Tom Cruise
160,Mark Hamill
161,Harrison Ford
162,Carrie Fisher
163,Peter Cushing
164,Anthony Hopkins
165,Aidan Quinn
166,Julia Ormond
167,Woody Harrelson
168,Tommy Lee Jones
169,Dustin Hoffman
170,Jean Reno
171,Natalie Portman
172,Gary Oldman
173,Danny Aiello
174,Uma Thurman
175,Ving Rhames
176,Russell Crowe
177,Juliette Binoche
178,Florence Pernel
179,Philippe Volter
180,Claude Duneton
181,Kurt Russell
182,James Spader
183,Jaye Davidson
184,Viveca Lindfors
185,Judge Reinhold
186,Wendy Crewson
187,David Krumholtz
188,Tim Robbins
189,Bob Gunton
190,Clancy Brown
191,Patrick Stewart
192,Jonathan Frakes
193,Brent Spiner
194,LeVar Burton
195,Chris Farley
196,David Spade
197,Brian Dennehy
198,Bo Derek
199,Darlene Cates
200,Sandra Bullock
201,Peter Gallagher
202,Peter Boyle
203,Sean Young
204,Courteney Cox
205,Tone Loc
206,Willem Dafoe
207,Anne Archer
208,Brandon Lee
209,Rochelle Davis
210,Ernie Hudson
211,Michael Wincott
212,Robin Wright
213,Mykelti Williamson
214,Andie MacDowell
215,James Fleet
216,Jonathan Taylor Thomas
217,Matthew Broderick
218,James Earl Jones
219,Cameron Diaz
220,Nancy Fish
221,Tim Bagley
222,James Garner
223,Leslie Nielsen
224,Priscilla Presley
225,George Kennedy
226,Fred Ward
227,Keanu Reeves
228,Dennis Hopper
229,Joe Morton
230,Arnold Schwarzenegger
231,Jamie Lee Curtis
232,Tom Arnold
233,Sam Neill
234,Julie Carmen
235,David Warner
236,Peter Jason
237,Anjelica Huston
238,Christopher Lloyd
239,Joan Cusack
240,Lillo Brancato
241,Francis Capra
242,Penelope Ann Miller
243,John Leguizamo
244,John Lithgow
245,Michael Rooker
246,Janine Turner
247,Jason London
248,Rory Cochrane
249,Wiley Wiggins
250,Sasha Jenson
251,Wesley Snipes
252,Nigel Hawthorne
253,Jeanne Tripplehorn
254,Holly Hunter
255,Jason James Richter
256,Lori Petty
257,August Schellenberg
258,Michael Madsen
259,Sela Ward
260,Charlie Sheen
261,Lloyd Bridges
262,Valeria Golino
263,Richard Crenna
264,John Malkovich
265,Dylan McDermott
266,Pete Postlethwaite
267,John Lynch
268,Corin Redgrave
269,Laura Dern
270,Jeff Goldblum
271,Richard Attenborough
272,Art Carney
273,Charles Dance
274,Frank McRae
275,Sally Field
276,Harvey Fierstein
277,Kevin Costner
278,Jason Robards
279,Mary Steenburgen
280,Cary Elwes
281,Dom DeLuise
282,Roger Rees
283,Dave Chappelle
284,Liam Neeson
285,Ben Kingsley
286,Caroline Goodall
287,Meg Ryan
288,Ross Malinger
289,Rutger Hauer
290,Edward James Olmos
291,Danny Elfman
292,Chris Sarandon
293,William Hickey
294,Glenn Shadix
295,Sam Elliott
296,Christian Slater
297,Michael Rapaport
298,Bronson Pinchot
299,Macaulay Culkin
300,Daniel Stern
301,John Heard
302,Patrick Swayze
303,Demi Moore
304,Whoopi Goldberg
305,Tony Goldwyn
306,Scott Weinger
307,Linda Larkin
308,Jonathan Freeman
309,Linda Hamilton
310,Robert Patrick
311,Edward Furlong
312,Mary McDonnell
313,Floyd Red Crow Westerman
314,Jack Nicholson
315,Michael Keaton
316,Kim Basinger
317,Michael Gough
318,Scott Glenn
319,Ted Levine
320,Adriana Caselotti
321,Lucille La Verne
322,Harry Stockwell
323,Roy Atwell
324,Robby Benson
325,Richard White
326,Jerry Orbach
327,Mel Blanc
328,Don Brodie
329,Walter Catlett
330,Marion Darlington
331,Julia Roberts
332,Richard Gere
333,Ralph Bellamy
334,Jason Alexander
335,Frances McDormand
336,Steve Buscemi
337,Peter Stormare
338,Harve Presnell
339,Phil Harris
340,Sterling Holloway
341,Scatman Crothers
342,Eva Gabor
343,Edward Norton
344,Laura Linney
345,John Mahoney
346,Henry Czerny
347,Dennis Quaid
348,David Thewlis
349,Dina Meyer
350,Joanna Lumley
351,Michael Jordan
352,Wayne Knight
353,Billy West
354,Dee Bradley Baker
355,Joey Lawrence
356,Billy Joel
357,Richard Mulligan
358,Gary Farmer
359,Crispin Glover
360,Lance Henriksen
361,Christian Clavier
362,Christian Bujeau
363,Isabelle Nanty
364,Robin Tunney
365,Fairuza Balk
366,Neve Campbell
367,Rachel True
368,Sean Connery
369,Ed Harris
370,John Spencer
371,Helen Hunt
372,Jami Gertz
373,Atsuko Tanaka
374,Akio Ohtsuka
375,Iemasa Kayumi
376,Kouichi Yamadera
377,Peter Sellers
378,Sterling Hayden
379,Keenan Wynn
380,Slim Pickens
381,Ewan McGregor
382,Ewen Bremner
383,Robert Carlyle
384,Tom Hulce
385,Tony Jay
386,Kevin Kline
387,Jeffrey Combs
388,Jake Busey
389,Chi McBride
390,Trini Alvarado
391,Kyra Sedgwick
392,Forest Whitaker
393,Robert Duvall
394,Matthew McConaughey
395,Oliver Platt
396,Delroy Lindo
397,Mara Wilson
398,Embeth Davidtz
399,Rhea Perlman
400,Marlon Brando
401,James Caan
402,Gene Kelly
403,Debbie Reynolds
404,Jean Hagen
405,Millard Mitchell
406,Audrey Hepburn
407,George Peppard
408,Patricia Neal
409,Buddy Ebsen
410,James Stewart
411,Kim Novak
412,Barbara Bel Geddes
413,Tom Helmore
414,Grace Kelly
415,Wendell Corey
416,Thelma Ritter
417,Cary Grant
418,Eva Marie Saint
419,James Mason
420,Jack Lemmon
421,Shirley MacLaine
422,Fred MacMurray
423,Ray Walston
424,Marilyn Monroe
425,Tony Curtis
426,George Raft
427,Walter Matthau
428,James Coburn
429,Humphrey Bogart
430,Ingrid Bergman
431,Paul Henreid
432,Claude Rains
433,Mary Astor
434,Gladys George
435,Peter Lorre
436,Rex Harrison
437,Stanley Holloway
438,Gladys Cooper
439,Gregory Peck
440,Eddie Albert
441,Hartley Power
442,Judy Garland
443,Frank Morgan
444,Ray Bolger
445,Bert Lahr
446,Vivien Leigh
447,Clark Gable
448,Olivia de Havilland
449,Thomas Mitchell
450,William Holden
451,Gloria Swanson
452,Erich von Stroheim
453,Nancy Olson
454,Orson Welles
455,Joseph Cotten
456,Dorothy Comingore
457,Ray Collins
458,Keir Dullea
459,Gary Lockwood
460,William Sylvester
461,Douglas Rain
462,Bette Davis
463,Anne Baxter
464,George Sanders
465,Celeste Holm
466,Laurence Olivier
467,Joan Fontaine
468,Judith Anderson
469,Louis Calhern
470,Donna Reed
471,Lionel Barrymore
472,Duane Jones
473,Karl Hardman
474,Marilyn Eastman
475,Keith Wayne
476,Leon Robinson
477,Malik Yoba
478,John Candy
479,Peter Outerbridge
480,Ilene Woods
481,Eleanor Audley
482,Lucille Bliss
483,Verna Felton
484,Sebastian Cabot
485,Karl Swenson
486,Junius Matthews
487,Norman Alden
488,Mary Elizabeth Mastrantonio
489,Julie Andrews
490,Dick Van Dyke
491,David Tomlinson
492,Glynis Johns
493,Herman Bing
494,John McLeish
495,Edward Brophy
496,Kathryn Beaumont
497,Ed Wynn
498,Richard Haydn
499,Mickey Rooney
500,Pearl Bailey
501,Jack Albertson
502,Eleanor Parker
503,Alan Rickman
504,Alexander Godunov
505,Bonnie Bedelia
506,Geena Davis
507,Yvonne Zima
508,Craig Bierko
509,Tom Amandes
510,Claire Danes
511,Harold Perrineau
512,Jason Patric
513,Gilbert Gottfried
514,Gene Wilder
515,Peter Ostrum
516,Roy Kinnear
517,John Cleese
518,Michael Palin
519,Graham Chapman
520,Terry Gilliam
521,Warren Beatty
522,Faye Dunaway
523,Ray Milland
524,Robert Cummings
525,John Williams
526,Jennifer Grey
527,Cynthia Rhodes
528,Chris Penn
529,Tom Berenger
530,Michael Douglas
531,Alec Baldwin
532,Alan Arkin
533,Henry Thomas
534,Drew Barrymore
535,Robert MacNaughton
536,Dee Wallace
537,Kelly McGillis
538,Anthony Edwards
539,James Dean
540,Natalie Wood
541,Sal Mineo
542,Ann Doran
543,Michael Biehn
544,Leo Burmester
545,Adrienne Barbeau
546,Janet Leigh
547,John Houseman
548,Lee Van Cleef
549,Ernest Borgnine
550,Donald Pleasence
551,Philippe Noiret
552,Jacques Perrin
553,Marco Leonardi
554,Salvatore Cascio
555,Karin Viard
556,Ticky Holgado
557,Pascal Benezech
558,Kirk Douglas
559,Ralph Meeker
560,Adolphe Menjou
561,George Macready
562,Kristin Scott Thomas
563,Louise Fletcher
564,William Redfield
565,Billy Dee Williams
566,Mandy Patinkin
567,Karen Allen
568,Paul Freeman
569,Ronald Lacey
570,Jonathan Pryce
571,Katherine Helmond
572,Ian Holm
573,Sigourney Weaver
574,James Remar
575,Paul Reiser
576,Eli Wallach
577,Luigi Pistilli
578,Henry Fonda
579,Martin Balsam
580,John Fiedler
581,Jack Klugman
582,Alec Guinness
583,Anthony Quinn
584,Jack Hawkins
585,Omar Sharif
586,Malcolm McDowell
587,Patrick Magee
588,Adrienne Corri
589,Michael Bates
590,Brock Peters
591,James Anderson
592,Mary Badham
593,Martin Sheen
594,Frederic Forrest
595,Claudia Cardinale
596,Charles Bronson
597,Alida Valli
598,Trevor Howard
599,Ray Liotta
600,Tom Skerritt
601,Veronica Cartwright
602,Harry Dean Stanton
603,Bruce Campbell
604,Marcus Gilbert
605,Ian Abercrombie
606,Rosanna Arquette
607,Paul Shenar
608,Sergio Castellitto
609,Akira Terao
610,Jinpachi Nezu
611,Tatsuya Nakadai
612,Mieko Harada
613,Anthony Perkins
614,Vera Miles
615,John Gavin
616,Dan Aykroyd
617,John Belushi
618,James Brown
619,Cab Calloway
620,Diane Keaton
621,Matthew Modine
622,Adam Baldwin
623,Dorian Harewood
624,Arliss Howard
625,Elizabeth Berridge
626,Roy Dotrice
627,Elizabeth McGovern
628,Frank Vincent
629,Woody Allen
630,Tony Roberts
631,Carol Kane
632,Aleksandr Kaydanovskiy
633,Nikolay Grinko
634,Alisa Freyndlikh
635,Natasha Abramova
636,Klaus Wennemann
637,Hubertus Bengsch
638,Martin Semmelrogge
639,Bernd Tauber
640,Paul Newman
641,Robert Redford
642,Robert Shaw
643,Charles Durning
644,Max von Sydow
645,Bengt Ekerot
646,Nils Poppe
647,Bibi Andersson
648,Paul Winfield
649,Tim Balme
650,Elizabeth Moody
651,Ian Watkin
652,Brenda Kendall
653,Michael Murphy
654,Mariel Hemingway
655,John Turturro
656,Marcia Gay Harden
657,Robert Sean Leonard
658,Gale Hansen
659,Anne Bancroft
660,Katharine Ross
661,Murray Hamilton
662,Anne Parillaud
663,Marc Duret
664,Patrick Fontana
665,Sessue Hayakawa
666,Marcello Mastroianni
667,Sandra Milo
668,Rossella Falk
669,John Huston
670,Perry Lopez
671,Michael Rennie
672,Billy Gray
673,Hugh Marlowe
674,Shelley Duvall
675,Danny Lloyd
676,Wil Wheaton
677,River Phoenix
678,Corey Feldman
679,Kiefer Sutherland
680,Ellen Widmann
681,Inge Landgut
682,Otto Wernicke
683,Sarah Berry
684,Dan Hicks
685,Kassie DePaiva
686,Steve McQueen
687,James Donald
688,John Cazale
689,John Savage
690,Christopher Walken
691,Bill Murray
692,Chris Elliott
693,Stephen Tobolowsky
694,Richard Harris
695,Lea Thompson
696,Claudia Wells
697,Karl Malden
698,Stephen Young
699,Michael Strong
700,Carey Loftin
701,Mitsuo Iwata
702,Nozomu Sasaki
703,Mami Koyama
704,Tesshou Genda
705,Christopher Lambert
706,Roxanne Hart
707,Luke Askew
708,Morgan Woodward
709,Marty Feldman
710,Madeline Kahn
711,Charlie Chaplin
712,Jack Oakie
713,Reginald Gardiner
714,Henry Daniell
715,Deems Taylor
716,Walt Disney
717,Julietta Novis
718,Leopold Stokowski
719,Gary Cooper
720,Winona Ryder
721,Lisanne Falk
722,Charlton Heston
723,Haya Harareet
724,Stephen Boyd
725,Christopher Guest
726,Michael McKean
727,Harry Shearer
728,Rob Reiner
729,Denholm Elliott
730,Alison Doody
731,Candice Bergen
732,Edward Fox
733,John Gielgud
734,Christine Hargreaves
735,James Laurenson
736,Eleanor David
737,Bob Geldof
738,Amy Madigan
739,Gaby Hoffmann
740,Strother Martin
741,Billy Crystal
742,Bruno Kirby
743,Ralph Brown
744,David Naughton
745,Jenny Agutter
746,Griffin Dunne
747,John Woodvine
748,Tippi Hedren
749,Rod Taylor
750,Suzanne Pleshette
751,Virginia Madsen
752,Tony Todd
753,Xander Berkeley
754,Kasi Lemmons
755,Nick Nolte
756,Jessica Lange
757,Sissy Spacek
758,Piper Laurie
759,Amy Irving
760,William Katt
761,John Saxon
762,Ronee Blakley
763,Heather Langenkamp
764,Amanda Wyss
765,Max Schreck
766,Gustav von Wangenheim
767,Alexander Granach
768,Ruth Landshoff
769,Lee Remick
770,Billie Whitelaw
771,William Atherton
772,Reginald VelJohnson
773,William Shatner
774,Leonard Nimoy
775,DeForest Kelley
776,James Doohan
777,Michelle Pfeiffer
778,Stockard Channing
779,Jeff Conaway
780,Didi Conn
781,Steven Seagal
782,Gary Busey
783,Michael Des Barres
784,Roy Scheider
785,Richard Dreyfuss
786,Lorraine Gary
787,Glenn Close
788,Annette Bening
789,Kelly Preston
790,Alison Armitage
791,Jonathan Lipnicki
792,Trey Wilson
793,John Goodman
794,Sidney Poitier
795,David Strathairn
796,David Arquette
797,Russell Means
798,Eric Schweig
799,Jodhi May
800,John Roselius
801,Louis Eppolito
802,Maura Tierney
803,Jennifer Tilly
804,Mike Myers
805,Elizabeth Hurley
806,Michael York
807,Mimi Rogers
808,Milla Jovovich
809,John Cusack
810,Tate Donovan
811,Josh Keaton
812,Roger Bart
813,Dermot Mulroney
814,Rupert Everett
815,Joan Allen
816,Alessandro Nivola
817,Linda Fiorentino
818,Rip Torn
819,John Hurt
820,Viggo Mortensen
821,Jason Beghe
822,Sandahl Bergman
823,Laurence Fishburne
824,Kathleen Quinlan
825,Joely Richardson
826,Cylk Cozart
827,Elle Macpherson
828,Guy Pearce
829,James Cromwell
830,Jamyang Jamtsho Wangchuk
831,BD Wong
832,Ashley Judd
833,Alex McArthur
834,Deborah Kara Unger
835,James Rebhorn
836,Ben Affleck
837,Joey Lauren Adams
838,Dwight Ewell
839,Mark Addy
840,William Snape
841,Steve Huison
842,Charlize Theron
843,Jeffrey Jones
844,Jude Law
845,Gore Vidal
846,Rowan Atkinson
847,Peter MacNicol
848,John Mills
849,Pamela Reed
850,Burt Reynolds
851,Thomas Jane
852,Josef Sommer
853,Lukas Haas
854,Casper Van Dien
855,Denise Richards
856,John Hannah
857,Noah Emmerich
858,Natascha McElhone
859,Diane Venora
860,Angela Lansbury
861,Djimon Hounsou
862,Matt Damon
863,Minnie Driver
864,Sarah Michelle Gellar
865,Frances Fisher
866,Billy Zane
867,Michelle Yeoh
868,Teri Hatcher
869,Will Patton
870,Olivia Williams
871,Larenz Tate
872,Pam Grier
873,Robert Forster
874,Jeff Bridges
875,Rufus Sewell
876,William Hurt
877,Jennifer Connelly
878,Donald Sutherland
879,Christine Taylor
880,Allen Covert
881,Greg Kinnear
882,Skeet Ulrich
883,Daniel Roebuck
884,Matt Dillon
885,Miko Hughes
886,Andre Braugher
887,Dennis Franz
888,Benicio del Toro
889,Tobey Maguire
890,Sarita Choudhury
891,Lea Salonga
892,Eddie Murphy
893,Donny Osmond
894,David Duchovny
895,Gillian Anderson
896,Mitch Pileggi
897,John Neville
898,Jennifer Lopez
899,Don Cheadle
900,Billy Bob Thornton
901,Liv Tyler
902,Danny Glover
903,Gregory Smith
904,Denis Leary
905,Phil Hartman
906,Sean Gullette
907,Mark Margolis
908,Ben Shenkman
909,Samia Shoaib
910,Lee Evans
911,Rod Steiger
912,Pat Henning
913,Richard Beymer
914,Russ Tamblyn
915,Rita Moreno
916,Sylvia Miles
917,John McGiver
918,Fernando Rey
919,Tony Lo Bianco
920,Talia Shire
921,Burt Young
922,Carl Weathers
923,Jane Alexander
924,Justin Henry
925,John Lone
926,Joan Chen
927,Dennis Dun
928,Ryuichi Sakamoto
929,Jack Murdock
930,Jessica Tandy
931,Patti LuPone
932,David Bowie
933,Toby Froud
934,Christopher Malcolm
935,Emilio Estevez
936,Anthony Michael Hall
937,Judd Nelson
938,Molly Ringwald
939,Robert Englund
940,Betsy Palmer
941,Adrienne King
942,Harry Crosby
943,Laurie Bartram
944,Amy Steel
945,John Furey
946,Kirsten Baker
947,Nancy Kyes
948,Nick Castle
949,Charles Cyphers
950,Jeffrey Kramer
951,Catherine Hicks
952,Alex Vincent
953,Brad Dourif
954,JoBeth Williams
955,Beatrice Straight
956,Dominique Dunne
957,Oliver Robins
958,Linda Blair
959,Ellen Burstyn
960,Jason Miller
961,Mitchell Ryan
962,Joss Ackland
963,Zach Galligan
964,Phoebe Cates
965,Hoyt Axton
966,Polly Holliday
967,John Glover
968,Sean Astin
969,Josh Brolin
970,Jeff Cohen
971,Stuart Wilson
972,Diego Sieres
973,Chuck Connors
974,Brigitte Helm
975,Alfred Abel
976,Fritz Rasp
977,Theodor Loos
978,James Tolkan
979,Donnie Dunagan
980,Peter Behn
981,Stan Alexander
982,Cammie King
983,Takashi Shimura
984,Yoshio Inaba
985,Seiji Miyaguchi
986,Minoru Chiaki
987,Kyle MacLachlan
988,Francesca Annis
989,Leonardo Cimino
990,Sofia Coppola
991,Vin Diesel
992,Barrie Ingham
993,Val Bettin
994,Vincent Price
995,Susanne Pollatschek
996,Bette Midler
997,Kathy Najimy
998,Omri Katz
999,Rick Moranis
1000,Marcia Strassman
1001,Matt Frewer
1002,Kristine Sutherland
1003,David Morse
1004,Ron Rifkin
1005,Lindsay Lohan
1006,Natasha Richardson
1007,Elaine Hendrix
1008,Bruce Dern
1009,Rick Ducommun
1010,Isabella Rossellini
1011,Bruce Reitherman
1012,Louis Prima
1013,Peggy Lee
1014,Barbara Luddy
1015,Larry Roberts
1016,Bill Thompson
1017,Jodi Benson
1018,Christopher Daniel Barnes
1019,Jason Marin
1020,Buddy Hackett
1021,Betty Lou Gerson
1022,Martha Wentworth
1023,Ben Wright
1024,Bobby Driscoll
1025,Hans Conried
1026,Bob Newhart
1027,Tristan Rogers
1028,Geraldine Page
1029,Joe Flynn
1030,Mary Costa
1031,Bill Shirley
1032,Daryl Hannah
1033,Eugene Levy
1034,Bruce Boxleitner
1035,Cindy Morgan
1036,Kate Capshaw
